review_id,timestamp,book_id,book_title,review_title,review_user,review_text,review_score
R2AE3PPIND8W2O,1554723369,0394585828,Horizon,Lifetime Achievement,Floki,"Fantastic narratives that may well surpass the work of ""Arctic Dreams.""  30 years in the making.  Written in the beautiful style Lopez's readers have come to know and admire since the 1970s.  Read it, and then give copies to your loved ones and best friends.",5
RXTPGKA8Y5DLZ,1556287877,0143110438,A Gentleman in Moscow: A Novel,Will transport you to Russia pre and post Revolution. What a treasure.,DEE P.,Wonderful book. Beautiful prose and delightful characters. You will fall in love with the Count!,5
R1GDGNFHX8ZE6V,1556247977,0143110438,A Gentleman in Moscow: A Novel,Simply the best,Al Wilhelm,One of the best books I have ever had the pleasure of reading.  I am going to read it again to enjoy it all over again.Do yourself a favor and get it right now.,5
R16WY6P578IRX0,1556247970,0800736524,"The Next Right Thing: A Simple, Soulful Practice for Making Life Decisions",This book is lifegiving!,Jessica Hekman,This book is so very life giving. I think almost anyone in any stage of life could truly benefit from Emily's sweet words. They are like a soothing balm!,5
R2BQG5Z8EGXBGO,1555168033,1250190193,The Prairie Homestead Cookbook: Simple Recipes for Heritage Cooking in Any Kitchen,More than a Cookbook!,Expressionality,"WOW....this book is amazing...it is more of a ""how to"" book in regards to cooking, gardening, farming, ranching, how to condition and maintain cast-iron cooking pans....it is all inclusive of the Homesteading lifestyle and it would be useful to someone living downtown in a flat or out on some land and for both beginners and people that have been homesteading for a while. The cookbook is amazing and has some great pictures... We look forward to trying some of the different foods as we are trying to reduce the use of foods with preservatives for our family of seven and trying to make more of our foods ourselves....this is a learning curve and this book seems to lay it out in an easy to follow format and process. So far the kids, even our picky eaters, have loved the recipes we have tried so far, we look forward to trying more of them in the coming days and weeks. We highly recommend this book! and yes, I did pay full price for this book and get no remuneration for this review, the book is just much more than we expected....SCORE!!! :-)",5
RRBZAHF5Q7MC3,1554766517,0143110438,A Gentleman in Moscow: A Novel,Sheer Delight,Joan,"I tried a sample of this book and could not get into it. Two friends encouraged me to try again. So glad I did. What a great read. Absolutely fell in love with the Count. What a character. His wit, wisdom and positivity was wonderful. While the Russian history was slow in spots it all came together wonderfully. You don't need the story rolled out -- what you need to know is that this will be time well spent with a heartwarming, winsome, witty novel. I read Towles other novel and didn't enjoy it nearly as much. However, his diversity of style is to be applauded. Great book, don't miss it.",5
R54K4SC7JIIHO,1556204909,1607749580,The Pho Cookbook: Easy to Adventurous Recipes for Vietnam's Favorite Soup and Noodles,Great Item!!,Paul A. Johnson,"Fast shipping. Nice Product, I'd buy it again!!",5
R3PVLYL4AQ0J8L,1556403565,1401953115,Becoming Supernatural: How Common People…,Thank you!,Susan rose,"Just received, the universe is wonderful, when the reader is ready, the book arrives",5
R23OII89G355HW,1555699817,0143110438,A Gentleman in Moscow: A Novel,A great read,Moritz,"A great read, though probably not for everyone.  Many people may not like the style, though I find it lovely to read.",5
R3LTGINF27IT6P,1555699798,1476753830,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Get teaching cookbook,Lisa Loo,One of the best cookbooks I have read lately. A nice teaching cookbook. I highly recommend!,5
RWRWNEGVM71YJ,1555172893,1250190193,The Prairie Homestead Cookbook: Simple Recipes for Heritage Cooking in Any Kitchen,Good ole’ fashioned cookin...yes YOU can!!!,Expressionality,"Received my copy yesterday, have dog eared nearly HALF of the recipes already as I skimmed through in the wee hours of the night! I purposely baked a chicken for dinner yesterday so I could make the yummy broth today!! And it’s on the stove as I type!!!

Jill is so genuine and lovable, and it just comes right out in the pages of this masterpiece ☺️☺️☺️ This book is AMAZING!!! I can’t wait to incorporate these recipes in our family’s supper time and hopefully pass on a “seasoned” version to my daughter one day!!!

Whether you have a “suburb-stead” or a homestead, I recommend you get a copy of this heirloom ❤️",5
R3D287C6Z5EFKP,1554775697,0143110438,A Gentleman in Moscow: A Novel,Didn't finish it,Reader 1234,I worked really hard to get into this book because it was so highly recommended by may of my friends.  This book did not hold my interest and I finally gave up.,2
R1H1W1HRG98U3S,1554684512,198211598X,Pet Sematary: A Novel,Creepy,Susan,I love Stephen King and have read almost all of his books. Now that I have the kindle and kindle app on my phone I can reread his stuff. I just wish that they were all $3 or $4. Buying books gets spending when you read as much as I do. And the library isn't always an option.,5
RUL5YR3FU1WHN,1554684486,0525538194,Wolf Pack (A Joe Pickett Novel),"He keeps you in suspense with great characters., 👍👍👍",Gordon A. Thurner,GREAT NOVEL.  Kept my attention all the way through.  Can hardly wait for next one .  Have read all his books and will continue to.,5
R1HEP38VJ1K5Z8,1554705890,162860378X,Lies My Doctor Told Me Second Edition: Medical…,Knowledge is Power!,Penny D.,So informative.  Been waiting for a book like this and his references to more reading!  Thank you Dr.  Berry.  Please write another book!,5
RZX8IYEB7XBD9,1554718446,0525538194,Wolf Pack (A Joe Pickett Novel),"Good series, full characters, entertaining",Cannie Roderick,The complete series is entertaining.,4
R2NY2U8LR6N5FG,1554716837,0143110438,A Gentleman in Moscow: A Novel,"Outstanding, unique and insightful",Docrob,"The literary value of this book is outstanding.  Descriptions are creative and prose-like, beautifully written and captivating.  The author takes the reader through the main character's thought process in his interactions with other characters that are varied and numerous, over several decades. Observations and phenomena are described with much insight and intrigue.At first, it appears that the entire book is going to be simply a series of events in the ""gentleman's"" life while confined to the hotel, written in an entertaining way.  It is not until nearing the book's end when the reader realizes that these events represent pieces of what is actually an intricate and brilliant plot on the gentleman's part. This revelation prompts the reader to re-think the events in a new context.I found the book a very unique historical novel and look forward to reading other books by this author.",5
R1CV7KVZZRP5UM,1554716826,0525538194,Wolf Pack (A Joe Pickett Novel),Wolf pack,William Chadwick George,Good read. Out of all joe Pickett novels this was  not my favorite but still a very good read.  But it,4
R3GFPVSLVN1P3A,1554749237,0143110438,A Gentleman in Moscow: A Novel,Why you should read this book.,Paula Hope Iacampo,"There are plenty of descriptions of the ""who, what, when, where,"" of the characters and plot of this book.  Here is ""why"" you should read it.In a world lacking in civility, where one is subjected to vulgar and profane lyrics even when taking a YOGA class, along comes this literary masterpiece, a bestseller, that offers us a reprieve from the offensive and boorish behavior that exemplifies modern day America.  Without graphic sex, violence or profanity, the author takes us on an inspiring journey and provides us with the perfect antidote to a world desperately in need of an honorable role model.  Finally, in these pages we find one.  If only enough people would read this book and emulate the lead character (as opposed to the obnoxious leader of the free world) we would find ourselves in a better, kinder and more hospitable world.  BRAVO, Mr. Towles.",5
R1VVTRGYH2CKQK,1554749226,0525538194,Wolf Pack (A Joe Pickett Novel),Pickett for president,ddd,"Another outstanding Joe Pickett novel. Swift read, C.J. knows what we want. Can't stop reading, truly excellent writing.  Thank you Mr. Box, kudos.",5
R1KLGQXTYACII,1554749219,1250190193,The Prairie Homestead Cookbook: Simple…,You don’t have to live on a farm to live like a homesteader.,Amazon Customer,"I love it! The recipes are simple, real food and the homesteading tips make my heart happy! I would recommend this cookbook for anyone starting a simpler life journey 😊",5
R7CS988KQYUF7,1554876737,0143110438,A Gentleman in Moscow: A Novel,A Lovely Surprise,Dr. Michael B. Smith,"Well, I would say that what draws me to the book is its texture. Like one enjoying the walk, without being overly concerned about where it is going. Not only is the quality of the English enjoyable in itself, but the author's knowledge of the background (the Russian revolution and its devolution), and his somewhat removed and tasteful way of viewing his characters draws one in. The ""good manners"" of the main character, a nobleman, prompted me to reread Emily Post: both Amor and Emily see good manners as a form of morality. There is also a bit of Anatole France in the mix, it seems to me (The Crime of Sylvestre Bonnard). I would even say (but is this going too far?) that Towles' way of mixing story, history, anecdote and philosophical musings is somewhat Proustian. And as in Homer (am I writing this?) most of the characters have a brief but memorable formulaic set of attributes (e.g. the ""willowy"" one) to remember and recognize them by. Though history seems to have debunked nobility, their pre-historical or a priori notion, that of ""nobleness"" (to use a word Yeats reserves for such worthiness) is salvaged in Towles's novel, and it is this gently ineffectual sense of honor that suggests to the (reader's) self a worthy direction of modest dignity after all. (By the way, I haven't quite finished the book yet: I have one more chapter to go. I'm reading it to someone who can no longer read. We read a little just about every day. A perfect pace.)",5
R3276AHG9CA0VE,1555181533,1400208017,Can't Make This Stuff Up!: Finding the Upside to Life's Downs,"Love, love, love!! ❤💜",Brandi S.,"I absolutely love this book! I started reading as soon as I got in and before i knew it, i was more than half way through!! Susannah is an amazing woman! She makes me laugh when sometimes all I wanna do is cry!! Buy the book! You wont be disappointed!!!! ❤",5
R1J121CVAFZSNO,1555181514,62678426,The Woman in the Window: A Novel,Thrilling to the end!!,PeggyKP,Absolutely fantastic story! The narration was superb!! I am so sad I finished it.,5
RA3HT2LT1BOCA,1554718433,198211598X,Pet Sematary: A Novel,still a classic,mike h,"In anticipation of doctor sleep I reread this book after fifteen years. What a gripping tale. Such an insight into the dark depths of addiction and the whole epic just keeps you rivetted, night after night way past bedtime. Great read",5
R22XUC1F87GCB5,1554718386,0525538194,Wolf Pack (A Joe Pickett Novel),Great Book!,Amazon Customer,CJ Box just keeps getting better and better.  Wolf Pack is his best book yet.,5
R2B2K9ZHQ1S9DK,1556231737,1982111003,After (The After Series),Trash meets Book Form,Julia,"Okay so, I started the online book about a year ago. I've read all three online books. And now I had the chance to read the published first novel. This book has me cringing at Every turn. At first for good reasons. I WASNT much of a reader before reading this book, so of course I thought it was good. BUT. After I learned what a real storyline is. THIS IS NOT IT. The storyline is very receptive and boring at times. The sex scenes spice it up of course but that's it. I think of the book more of a Punk trashier Fifty shades of Grey. IT WANTS TO BE FSOG SO BAD IT HURTS. The whole book goes ""I'm sorry Tess... I can't change him... I'm sorry Tessa... Let's have sex!"" Thats the whole entire book for you. But if you're looking for something to read under the covers when all the lights are off and your parents are asleep. Then this is it for you teen hormonal no great literature knowing girls!",2
R1FPBHIQY4WL9I,1556231717,0143110438,A Gentleman in Moscow: A Novel,Great read,Dr. Dale Rose Marcus,One of the best books I've read this year. Beautifully written. I felt like I was in a Russia as a participant in the Count's life. Russian history at its best.,5
R263IACQRV1IKT,1554740788,0143110438,A Gentleman in Moscow: A Novel,Brilliant novel.,D.P. McHenry,Exceptional prose. A joy to read.,5
R36G2NFAONDJRV,1554679676,198211598X,Pet Sematary: A Novel,A Modern Horror Classic,S. Howes,"The first time I read the shining I was an awestruck teenager, now reading it for the third time I'm delighted to still be impressed. Truly one of King's best. This time through the story of Jack Torrance's struggle with alcohol & anger captivated me almost more than the Overlook's growing hold over him ... All the more frightening for being so close to home. Now, off to read Doctor Sleep!",5
R3IDZZJH8PCZ7,1556105902,0143110438,A Gentleman in Moscow: A Novel,Beautifully written and engaging story about life and what it offers,D.P. McHenry,"Under circumstances that would crush many souls, this is the story of indomitable spirit. A Person who lives his life with dignity, always making the most of his situation, a man who never lets circumstances undermine his cheerfulness and teaches the same to others. A man whose confinement lets him cease what is important in life. All set within the confines of a classic hotel that resonates with the history of 20th century Russia.",5
R1DJ3NUMMPQQTM,1554786877,0525572643,The Home Edit: A Guide to Organizing and…,HOUSE GOALS.,Nick Kerstner,This book is incredible. Clea and Joanna have mastered a stylish way to organize. Every page is beautiful and provides functional ideas for your home. Their entire book really is house goals.,5
R3108E7LCNA7JH,1554786857,0143110438,A Gentleman in Moscow: A Novel,Interesting book,Louise P,"An interesting book by the end, it drags thru many stories for the first 2/3 of the book. It is a delightful tale of day to day living of a Russian man who is confined to living in a hotel, tho the Metropol is a very luxurious, huge hotel!  By the end it picks up and concludes very satisfactorily. A nice little read, but I won't read it again (which is what I do with my most favorite books!). Not sure if I will recommend it to my book club or not, I'll have to think on it a bit.",4
R30MSR8AHG58Z,1556236360,1607749580,The Pho Cookbook: Easy to Adventurous Recipes for Vietnam's Favorite Soup and Noodles,He says it has a good balance of food history,Paul A. Johnson,"A gift for my husband. He says it has a good balance of food history, discussion of ingredients, recipes, and photos. A wide variety of pho recipes are included, from vegetarian to seafood to meat, including more unusual ones, such as one featuring lamb. .",5
RWNWDMUI7H5M7,1556064847,0393239861,BraveTart: Iconic American Desserts,I loved reading the stories behind the recipes and learning about ...,Daniotra,"If you're looking for something unique in a cookbook, then this is the book for you. I loved reading the stories behind the recipes and learning about which flours work best for particular recipes. This is not a standard cookbook. This is the type of cookbook you buy if you like spending time in the kitchen. The recipes are detailed and everything is completely from scratch----even the sweetened condensed milk.
I bought in especially for the key lime pie recipe but quickly tried several other recipes as well",5
R1EQBZTPRHRW6V,1555154343,198211598X,Pet Sematary: A Novel,Five Stars,sully 54,Christmas gift...,5
R2N8B2Q6C428AT,1554834315,1538713640,The Matriarch: Barbara Bush and the Making of…,"3-D Portrait of Barbara Bush - Love, Hope, Sadness, Despair...",C Wm (Andy) Anderson,"I'm one of those guys who had an on again, off again, feeling of love and respect for First Lady Barbara Bush. In 1984 I took umbrage at her for her disdain towards POTUS candidate Walter Mondale's choice for VP. I also recollect disappoinment in her when her husband, George H W Bush got elected Pesident, instead of MA Gov. Michael Dukakis. Then, however, I came to see how similar she was to my own grandmother and, well, I came to a greater appreciation of her despite her political allegiance.

Now, after having read (and listened to the Audible edition) of ""The Matriarch,"" I have a better understanding and much greater empathy for the person (and for the other wives of presidents and presidential candidates). Without giving any spoilers, if you do choose to read this book, pay especial attention to the small bit regarding Barbara Bush and Nancy Reagan.

As for myself, I felt some sympathy towards Barbara, to be sure, but also a good deal of sadness at her disappointment and just how it hit her in a very personal way. In fact, it reminded me of some of my intimate discussions with my own mother as her life was edging toward its end. And, yes, before you ask, tears do now well up in my eyes in remembrance of the sadness recollected by mom regarding events of her youth or early adulthood. So far as I know, neither of my siblings ever heard the regrets she expressed.

THAT is the worth of ""The Matriarch.""

Incidentally, this is probably my last review for Amazon Customer Reviews. `For whatever reason, they seem determined to ensure my reviews do not post in a timely manner. Unlike times past, when I submit my reviews, Amazon chooses to delay posting until at least a dozen other reviews post first. The technique is known as burying the review. Further, my review of ""Becoming"" was removed after it posted more than 700 helpful votes. So, of course, I can take a hint...

BLUSH FACTOR: This is a book that can certainly be read by anybody. The only eff word, believe it or not, appears in the footnotes, which is something few word read anyway.

WRITING & EDITING: Flows very smoothly and with no typos or editing snafus. It doesn't have the same tonal quality as ""Becoming"" but it does keep one's interest throughout.

BOTTOM LINE:

Four stars out of five. I enjoyed it, felt deeply saddened in places where Barbara Bush suffered tragedy or heartbreak, but also immense gladness when she experienced the happiness that comes when one is young and in love. I feel that this book made me see more sides of Babbs than I ever would have seen otherwise.",4
R1TQOXM2C0KHNS,1556312242,0143110438,A Gentleman in Moscow: A Novel,Great read,D.P. McHenry,Not the kind of book I would have picked out for myself but our book club read it and it is a very interesting story. It is historical fiction.,5
R1RYVWK70W340P,1556064824,198211598X,Pet Sematary: A Novel,I liked it better than the movie,tracie caramellino,"I wanted to read it to see the difference from movie, I liked it better than the movie, but for me it was just alright.",3
R1PY5AKMRTB3RI,1556259797,1607749580,The Pho Cookbook: Easy to Adventurous Recipes for Vietnam's Favorite Soup and Noodles,"from easy, simple pho to more complicated fusion pho",Paul A. Johnson,"The Pho Cookbook by Andrea Nguyen is a free NetGalley ebook that I read in early January.

Per Nguyen's subtitle, recipes are offered, from easy, simple pho to more complicated fusion pho, before going into toppings, noodle & rice dishes, and accompanying appetizers. It's easy to assume that a St Paul resident like me has seen just about every incarnation of pho by living among the best Hmong restaurants and markets imaginable, but Nguyen's homemade Hoisin sauce is worth its weight in gold.",5
RIIKA8E5KLITU,1554647177,0143110438,A Gentleman in Moscow: A Novel,Most Enjoyable Book I've Read in a Long Time,zorba,"This is one of the most enjoyable books I've read in a long time.  It gives the reader a creative plot (imagine being confined to a hotel for most of your life) fascinating, well-developed characters, and a viewpoint of Soviet Russia that is intimate, if not appalling.  Towles shares with us his impressive knowledge  of literature, food, Russia, the manners of a ""gentleman"" and so forth.  And maybe it's also a love story.  If you wonder how could a book that takes place almost entirely in a hotel be suspenseful and fulfilling, read this book.  And finally, Towles is a masterful writer -- he knows how to string words together.  He writes with a rhythm and a perspective which can be stunning, even poetic at times.  This is a long book, but one which I'll probably re-read someday.",5
R3AEU5NYR4ZKQ2,1555178953,1400208017,Can't Make This Stuff Up!: Finding the Upside to Life's Downs,A great book that I can share with a friend.,Jenny Ortega,"I loved this book! It was a great read, reminded me of my upbringing in Louisiana. Good country clean fun! Thank you Susannah! I now own all of your books and can't wait for the next.",5
R2ZMZEYQG4BLGD,1555178946,162860378X,Lies My Doctor Told Me Second Edition: Medical…,Five Stars,jennandforrest,I really like Dr Beery,5
R20MTMPOSKI252,1555178936,62678426,The Woman in the Window: A Novel,Keeps your attention!,CCC,"A very enjoyable mystery....one of the best I have read in a while.  A bit like the old movie ""Rear Window""  yet not the same at all.  I have recommended it to several friends who also have enjoyed it.",5
R2P9LYHRZTUY66,1554764371,194883605X,Go Be Kind: 28 1/2 Adventures Guaranteed to…,Be kind. Change the world~,JB VonShirl,"What a wonderful book. You might not be able to change the world with acts of kindness, but you can sure make a difference in your corner of the world, and this book is the perfect place to start. The simple, easy-to-follow instructions in this little book will jumpstart your own kindness revolution.",5
R3QEDU4XU80W5U,1554764357,0143110438,A Gentleman in Moscow: A Novel,BORING RAMBLING,Amazon Customer,"I followed the high Amazon reviews for this book and cannot believe how this book is popular.  Yes, the author is talented and his writing is very sophisticated.....but this book has NO plot, the characters are boring and the story could be told in about 10 pages.  Literally, nothing interesting happens in this book....instead, it's 460 pages of non-nonsensical rambling.",1
R35HHG8AB97CDW,1556054122,0143110438,A Gentleman in Moscow: A Novel,Excellent condition.,D.P. McHenry,Book as described. Excellent condition.,5
R3SAUEH3BI4YB3,1556054117,0143110438,A Gentleman in Moscow: A Novel,A lovely historical jaunt,Ben W.,"You wouldn't think you could feel like having a front seat to the Russian revolution and the early Soviet Union never leaving a hotel, but you would be mistaken. Towels crafts an elegant story, engaging characters, all confined to the four walls of the Metropol hotel in Moscow. A wonderful read.",5
R35P1LGPSHW663,1554763306,0062857908,The Right Side of History: How Reason and Moral Purpose Made the West Great,Wow!,Jules,Extremely well researched and logically thought out. Only problem I had was the time it took looking up word on the dictionary so could follow what he was actually saying and not guessing. My problem; not his. In this day and age I really miss having people that enjoy intellectual conversations without thinking different opinions conflict deserving of all out war.,5
RBPRHHIT93IB1,1554769997,0143110438,A Gentleman in Moscow: A Novel,What a joy! What a delight this novel is,nimsan,"What a joy! What a delight this novel is. From the very first sentence of this compelling story ( thoughtfully included in the back pages of my edition of Towles's other gem, ""Rules of Civility""), one becomes absorbed in the circumscribed life of the gentle Count and the staff and patrons of the Hotel Metropol. An effervescent,Gogol cocktail with a dash of Tolstoy and a twist of Eloise, we drink round after round, becoming more and more tipsy as we savor a bit of ""Dead Souls"" and ""The Nose"", a wisp of ""Anna Karenina"", without feeling the slightest hangover until the last page - however reluctantly - passes through our fingers. I tried to put it off, as I tried all week to put the book down, but once alongside Count Rostov and his comrades at the Metropol, you'll laugh, you'll cry ( you'll once more regret that YOU haven't written this book! ) and, when at last you've closed the back cover, you'll wonder, ""Now what will I do...?""",5
R17DOX1VRWXOVX,1556401573,0062678426,The Woman in the Window: A Novel,Surprise ending!,Patricia A. Rusch,"Great book. As an avid reader a book rarely surprises me but this is one of them. Did not know the ending!! Written beautifully, descriptions flawless.Thank youl",5
R22XWYJBLFJNFY,1556047165,62678426,The Woman in the Window: A Novel,kept my attention,Georgianna Roberts-roach,Started a little slow but then kept my attention and I didn't want to put it down.,4
R1Y8LFNV27BAAQ,1556259347,1607749580,The Pho Cookbook: Easy to Adventurous Recipes for Vietnam's Favorite Soup and Noodles,"from easy, simple pho to more complicated fusion pho",Paul A. Johnson,"The Pho Cookbook by Andrea Nguyen is a free NetGalley ebook that I read in early January.

Per Nguyen's subtitle, recipes are offered, from easy, simple pho to more complicated fusion pho, before going into toppings, noodle & rice dishes, and accompanying appetizers. It's easy to assume that a St Paul resident like me has seen just about every incarnation of pho by living among the best Hmong restaurants and markets imaginable, but Nguyen's homemade Hoisin sauce is worth its weight in gold.",5
R3JD99JHE2FLP1,1556018929,358074304,"Keto Fat Bombs, Sweets & Treats: Over 100 Recipes and Ideas for Low-Carb Breads, Cakes, Cookies and More",absolutely a winner!,Bonita I. Yeager,"Absolutely LOVE the recipes I've tried in this book!  Mint Chocolate Bars pg. 147, Peanut Butter Bites pg 148 are so easy and  satisfying to name a couple.... can't wait to try them all!",5
R19Z8A7QF607VL,1556018857,0316230030,Blueprint: The Evolutionary Origins of a Good…,fascinating,la,Dr. Christakis is a wealth of information. He manages to be both realistic and optimistic. Not always easy...,5
R111J79FKBYN2M,1554681249,0735218994,Celtic Empire (Dirk Pitt Adventure),Another Good Read,George W. Wilkinson,The Cusslers have once again brought out a book that you captivated and hard to put down.  Very enjoyable and I look forward to their next effort.,5
R3AKNPD5GJWSEI,1554841929,0812994760,Madame Fourcade's Secret War: The Daring…,The Spy You Never Knew,Leslie S.,"When you think of the French Resistance movement in World War II, images of spies, individuals blowing up bridges, and committing other subversive acts to help defeat Nazi Germany come to mind. The woman who was the head of the Alliance, the most famous French resistance organization, probably does not come to mind. Madame Fourcade's Secret War: The Daring Young Woman Who Led France's Largest Spy Network Against Hitler will definitely change that!This marvelous book chronicles Madame Fourcade's involvement in the Alliance from the beginning of the war until its end and beyond. Author Lynne Olson does provide some background information at the beginning of the book which helps to answer the important questions of why and how Madame Fourcade, also know as Marie-Madeleine, was asked to take on this important role. Throughout the pages, the reader is introduced to many individuals with whom Marie Madeleine interacted with during the course of the war. The large number of individuals mentioned throughout the book demonstrate the vastness of the Alliance and how involved the French citizens were in the war. While reading of the numerous spies, readers will rejoice at their victories and weep for those who were caught. While reading I had to frequently remind myself that the events portrayed were true and not fiction. Marie-Madeleine's life, and those of the other spies you meet in these pages, is a wonderful reminder that people are much stronger than we think and will rise to the challenge set before them.Madame Fourcade's Secret War is recommended for a variety of readers. Anyone who enjoys reading and studying World War II will want to add to their shelf. Anyone who enjoy spy stories will want to read this as well. If you are seeking the story of a remarkable but little know woman, Madame Fourcade's Secret War fits the description. I had not encountered author Lynne Olson's works previously but will be seeking out her other works which primarily focus on World War II.Disclosure of Material Connection: I received the book Madame Fourcade's Secret War via NetGalley. I was not required to write a positive review. The opinions I have expressed are my own. I am disclosing this in accordance with the Federal Trade Commission’s 16 CFR, Part 255: “Guides Concerning the Use of Endorsements and Testimonials in Advertising.",5
R1SVNWBJMYV21K,1555170934,0316316121,Less (Winner of the Pulitzer Prize): A Novel,Less is more.,R. Zocher,Loved it. The protagonist. Everything about it. The story. The ending.,5
R3RVDMYJAB0O63,1556338213,0062678426,The Woman in the Window: A Novel,The sad thing is will I ever find another book just ...,E. Thomas McClanahan,"The Woman in the Window is just...a miracle cure for me. I have been under a lot of stress for a long long long time. I found myself reading the same sentence over and over and over in whatever I was reading until I threw the book in the trash. The Woman in the Window is a profoundly spectacular work of art! For the first time in over a year I have been so captivated, or should I say reawakened . Yes believe it or not I read this precious gem into the wee hours of the morning, Thank you A.J. Finn from the bottom of my heart. The sad thing is will I ever find another book just as compelling? I think not!!",5
R8M12Z1GE9TXZ,1554721649,0735218420,Fifty Things That Aren't My Fault: Essays from the Grown-up Years,Laughing About Getting Older - Love These Essays!,Littoral Librarian,"I am the perfect demographic for this book, subtitled “Essays From the Grown-Up Years”: I loved the “Cathy” comic strip, and found it so frequently absolutely NAILED situations/relationships/dilemmas in my own life as a woman who spent a boatload of time in the 70s-80s-90s reveling in the feminist energy I felt all around me while also struggling with issues related to self-esteem, body image, gender equality, etc.

Not being a mother, I haven’t really shared the mother-daughter experiences such as Cathy and her daughter share, so those who find themselves in what Guisewite calls the “panini generation” may more closely relate to some of the essays. But I still laughed frequently and choked back a few tears as I read about her experiences dealing with her aging parents and her adopted daughter as she watches her growing up.

I loved learning about the actual woman behind the comic strips that have given me so much enjoyment over the years, and I appreciate the emotion conveyed in the essays in this collection. I loved it and will likely gift it to more than a couple of women I know… those who share my feeling as I read Ms. Guisewite’s words: “My whole generation is reeling from the stunning truth – that we, who are way too young and hip to ever look or act old, are not too young to pass away.”

Thanks to Penguin Group Putnam and NetGalley for a copy in exchange for this honest review. Five Stars.",5
RIBAEUMVWLZE2,1554758317,0525572643,The Home Edit: A Guide to Organizing and…,THE HOME EDIT SHOWS ALL OF US IT CAN BE DONE!,Amazon Customer,"Went thru this book in one sitting.  So inspirational, now if I can duplicate just 1 thing in my apt, I will feel proud and much less stressed!",5
R1TK73JFSJH93H,1554799651,194883605X,Go Be Kind: 28 1/2 Adventures Guaranteed to…,Go Be Kind,JB VonShirl,"This book was very easy to follow and read, all with one simple message: be kind!",5
R33B1E9KUEGKM8,1554666841,62678426,The Woman in the Window: A Novel,Four Stars,ENS,"Good read, with a few twists and turns.  Kept hoping the woman would get vindication in the end.",4
R3F6SNVUWAOCOP,1554860104,0316414212,The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Interesting,Nolia Nessa,Very inspiring. But i feel it contains too policy ideas that sound great on paper but may not work in practice.,5
R1CZXQRY9BHT3M,1554860157,1401953115,Becoming Supernatural: How Common People…,Will have to settle for natural....,Duffer5,"Not what I expected.  I felt like I needed a medical, biology and physics degree to understand the material. Since I don't, I'll pass it to someone smarter than me.",2
R3DGNJN25YIWN4,1554860092,1644450003,Milkman: A Novel,"More than a good read, life affirming, A novel that will stay with you....",Sheela,"A wonderful and compelling book! The kind that stays with you. I follow the Man Booker nominees and winner and bought this book while on vacation in Ireland. I admit it was slow going at first. Please put yourself in the mindset of an 18 year old and let the prose envelope your own teenage memories as you experience the young girl's thoughts you are sharing. When I would pick up the book to continue delving into the next chapter I was terrified for her yet admired her strength and intelligence. I suggest when you finish the last page, do yourself a favor and read the first chapter again, magical. Thank you, Anna Burns.",5
